id,label,numFollowers
@BCDtravelwatch,@BCDtravelwatch,1867
@navodaya_times,@navodaya_times,1380
@RamonGalindoNBC,@RamonGalindoNBC,2181
@Marieaaow,@Marieaaow,14226
@FAMMFoundation,@FAMMFoundation,19192
@waketfup00,@waketfup00,717
@UofCAHealth,@UofCAHealth,4512
@20m,@20m,1481548
@Agencia_Andina,@Agencia_Andina,726164
@MichelPoulain,@MichelPoulain,20303
@sirjackwindsor,@sirjackwindsor,549
@karacizme,@karacizme,646
@Muktpeeth,@Muktpeeth,2871
@3LWTV,@3LWTV,25254
@vipintukur,@vipintukur,3987
@AmyJonesTravel,@AmyJonesTravel,485
@SassyIsMe1961,@SassyIsMe1961,864
@mridula2c,@mridula2c,10584
@okayshane_,@okayshane_,2306
@BTSARMYcasa,@BTSARMYcasa,9609
@sl_better,@sl_better,78
@WriterEbony,@WriterEbony,1858
@MuhabirBey63,@MuhabirBey63,3163
@sincensuraworld,@sincensuraworld,858
@SriLankaMirror,@SriLankaMirror,16284
@SozialesTH,@SozialesTH,3097
@SanidadGobCan,@SanidadGobCan,60431
@SusanneSorglos9,@SusanneSorglos9,1767
@Capt_Tukali,@Capt_Tukali,162
@NickFarmer3,@NickFarmer3,5788
@pdamerica,@pdamerica,13016
@BrynCleat,@BrynCleat,2262
@sabri112019,@sabri112019,1158
@Trina_C_Music,@Trina_C_Music,378
@SteveSanders7,@SteveSanders7,1395
@alphadream,@alphadream,1163
@vixenzero3,@vixenzero3,926
@sabinvaccine,@sabinvaccine,11733
@keranews,@keranews,11934
@IDTlaxcala,@IDTlaxcala,263
@ResistereNews,@ResistereNews,1811
@SpirosMargaris,@SpirosMargaris,121643
@teensforvaxx,@teensforvaxx,1240
@NyakaUganda,@NyakaUganda,31
@RKururira,@RKururira,242
@NEstrellaTv,@NEstrellaTv,9042
@MatthiasMuell15,@MatthiasMuell15,7405
@RNRebeccaLove,@RNRebeccaLove,1334
@PsychologyWRDSB,@PsychologyWRDSB,461
@manopsi,@manopsi,50770
@Toumo_Junjun,@Toumo_Junjun,141
@Caro_Dew_,@Caro_Dew_,1239
@Cedefop,@Cedefop,11835
@sportstigerapp,@sportstigerapp,2566
@BobbyMc00937543,@BobbyMc00937543,1282
@cmemertens,@cmemertens,2435
@EvanBlake17,@EvanBlake17,2884
@ninjasniperpon,@ninjasniperpon,8974
@Dorotheacalm,@Dorotheacalm,8362
@vickybooklover1,@vickybooklover1,2152
@AlexIp718,@AlexIp718,1434
@AnoNymouseoutl1,@AnoNymouseoutl1,203
@Neoavatara,@Neoavatara,47609
@Vaticannews_ru,@Vaticannews_ru,402
@WineDelish,@WineDelish,992
@FrontWomHealth,@FrontWomHealth,1531
@Ankh1050,@Ankh1050,4951
@Leperbot22,@Leperbot22,680
@METROPEOPLE1,@METROPEOPLE1,374
@7Almodovar,@7Almodovar,818
@PatientCV,@PatientCV,568
@KinderJoy9393,@KinderJoy9393,1890
@AgenciaAJN,@AgenciaAJN,20629
@imssjalcontigo,@imssjalcontigo,5758
@KarungiViolet,@KarungiViolet,49
@LincsLimpet,@LincsLimpet,4334
@rwwonwheels,@rwwonwheels,2297
@BigDaddyLiberty,@BigDaddyLiberty,31190
@atsushi_mic,@atsushi_mic,7801
@sanwat,@sanwat,650
@DarthSuarley,@DarthSuarley,434
@4SD_info,@4SD_info,5555
@FlorianBelanger,@FlorianBelanger,12779
@SanatanPrabhat,@SanatanPrabhat,8350
@Margo1hand,@Margo1hand,199
@NickPye10,@NickPye10,16818
@CruzRoja_MX,@CruzRoja_MX,156449
@ThierryGallet1,@ThierryGallet1,1919
@teenmd,@teenmd,4122
@welitravel,@welitravel,357
@mukeshmarda,@mukeshmarda,4618
@SallyRMelb,@SallyRMelb,7400
@belalangcerewet,@belalangcerewet,4199
@js100radio,@js100radio,3320492
@treacl,@treacl,2482
@farupeib,@farupeib,310
@1stIndiaNews,@1stIndiaNews,1373207
@247gamarra,@247gamarra,55
